repo_id,author,downloads,likes,last_modified,created_at,description,so101_mentioned,is_eval_like,task_pick_and_place,task_pour_liquids,task_laundry_folding,best_task,best_task_score,total_task_score,num_episodes,codebase_version,robot_type,video_files_size_in_mb,data_files_size_in_mb,author_has_eval
doldolee/eval_smolvla_ppcc_0211,doldolee,28,0,2026-02-11T12:18:22+00:00,2026-02-11T12:17:07+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so101_follower"", ""total_episodes"": 10, ""total_frames"": 8295, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"":",True,True,0,0,0,pick_and_place,0,0,10,v3.0,so101_follower,200.0,100.0,True
dpak0724/so101_three_cam_v2,dpak0724,41,0,2026-02-11T11:02:44+00:00,2026-02-11T09:52:44+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so_follower"", ""total_episodes"": 49, ""total_frames"": 29299, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"": {",True,False,0,0,0,pick_and_place,0,0,49,v3.0,so_follower,200.0,100.0,False
doldolee/eval_smolvla_ppcc_0210,doldolee,29,0,2026-02-11T11:01:04+00:00,2026-02-11T10:59:54+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so101_follower"", ""total_episodes"": 10, ""total_frames"": 8421, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"":",True,True,0,0,0,pick_and_place,0,0,10,v3.0,so101_follower,200.0,100.0,True
joanfox/clean_table_random_v8.5,joanfox,27,0,2026-02-11T09:05:14+00:00,2026-02-11T09:05:10+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so_follower"", ""total_episodes"": 270, ""total_frames"": 128751, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"":",False,False,0,0,0,pick_and_place,0,0,270,v3.0,so_follower,200.0,100.0,False
joanfox/clean_table_random_v8,joanfox,45,0,2026-02-11T09:03:03+00:00,2026-02-11T09:02:41+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so_follower"", ""total_episodes"": 50, ""total_frames"": 20853, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"": {",False,False,0,0,0,pick_and_place,0,0,50,v3.0,so_follower,200.0,100.0,False
weeenwang/260210_stacking,weeenwang,33,0,2026-02-11T09:00:16+00:00,2026-02-11T08:29:59+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so_follower"", ""total_episodes"": 18, ""total_frames"": 14891, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"": {",False,False,1,0,0,pick_and_place,1,1,18,v3.0,so_follower,200.0,100.0,False
junmokane/pick_and_place_v1,junmokane,26,0,2026-02-11T08:41:06+00:00,2026-02-11T08:23:36+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so101_follower"", ""total_episodes"": 50, ""total_frames"": 20648, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 500, ""fps"": 30, ""splits""",True,False,2,0,0,pick_and_place,2,2,50,v3.0,so101_follower,500.0,100.0,False
louis126584/eval_so101_diffusion3,louis126584,33,0,2026-02-11T08:14:26+00:00,2026-02-11T07:17:40+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so_follower"", ""total_episodes"": 10, ""total_frames"": 4434, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"": {",True,True,0,0,0,pick_and_place,0,0,10,v3.0,so_follower,200.0,100.0,True
ddubbae/petner_scoop,ddubbae,119,0,2026-02-11T06:20:47+00:00,2026-02-05T01:58:47+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so_follower"", ""total_episodes"": 10, ""total_frames"": 13180, ""total_tasks"": 5, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"": {",False,False,0,0,0,pick_and_place,0,0,10,v3.0,so_follower,200.0,100.0,False
fleford/record_kitkat_circle_0,fleford,32,0,2026-02-11T06:19:35+00:00,2026-02-11T06:19:21+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so101_follower"", ""total_episodes"": 10, ""total_frames"": 5718, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"":",True,False,0,0,0,pick_and_place,0,0,10,v3.0,so101_follower,200.0,100.0,False
MattWulff/tape_in_ring,MattWulff,55,0,2026-02-11T05:49:35+00:00,2026-02-11T05:49:18+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so_follower"", ""total_episodes"": 50, ""total_frames"": 27094, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"": {",False,False,0,0,0,pick_and_place,0,0,50,v3.0,so_follower,200.0,100.0,False
adroitLee/260211_ep50_Syringe_cam1,adroitLee,25,0,2026-02-11T05:39:39+00:00,2026-02-11T05:19:24+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so_follower"", ""total_episodes"": 50, ""total_frames"": 21183, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"": {",False,False,0,0,0,pick_and_place,0,0,50,v3.0,so_follower,200.0,100.0,False
AriRyo/fold_towel_202601,AriRyo,431,0,2026-02-11T05:39:14+00:00,2026-01-23T12:31:30+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so_follower"", ""total_episodes"": 201, ""total_frames"": 253712, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"":",False,False,0,0,2,laundry_folding,2,2,201,v3.0,so_follower,200.0,100.0,False
namaewa-im/pick-orange-dataset-30,namaewa-im,34,0,2026-02-11T05:31:25+00:00,2026-02-11T05:29:59+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so101_follower"", ""total_episodes"": 30, ""total_frames"": 22446, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits""",True,False,1,0,0,pick_and_place,1,1,30,v3.0,so101_follower,200.0,100.0,False
adroitLee/260211_ep50_Syringe_cam2,adroitLee,25,0,2026-02-11T04:52:45+00:00,2026-02-11T04:52:13+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so_follower"", ""total_episodes"": 50, ""total_frames"": 18548, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"": {",False,False,0,0,0,pick_and_place,0,0,50,v3.0,so_follower,200.0,100.0,False
adroitLee/260211_ep50_Syringe_cam3,adroitLee,34,0,2026-02-11T04:29:41+00:00,2026-02-11T03:49:51+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so_follower"", ""total_episodes"": 50, ""total_frames"": 20399, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"": {",False,False,0,0,0,pick_and_place,0,0,50,v3.0,so_follower,200.0,100.0,False
