repo_id,author,downloads,likes,last_modified,created_at,is_eval_like,task_pick_and_place,task_pour_liquids,task_laundry_folding,best_task,best_task_score,total_task_score,codebase_version,robot_type,total_episodes,total_frames,total_tasks,total_videos,total_chunks,chunks_size,fps,data_files_size_in_mb,video_files_size_in_mb
CursedRock17/so101_two_cam,CursedRock17,20,0,2026-02-12T14:27:21+00:00,2026-02-12T14:27:16+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,50,22175,1,,,1000,30,100,200
CursedRock17/so101_block_onecam,CursedRock17,28,0,2026-02-10T14:24:48+00:00,2026-02-10T14:24:47+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,25,7384,1,,,1000,30,100,200
CursedRock17/so101_arms_usmsm,CursedRock17,151,0,2026-02-10T13:38:49+00:00,2025-11-07T16:38:11+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,50,22421,1,,,1000,30,100,200
DriversMore/pruebaHaribo,DriversMore,6,0,2025-11-22T22:21:38+00:00,2025-11-22T22:20:44+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,33,57378,1,,,1000,30,100,500
EdwardCHWang/so101_green_cube_vla,EdwardCHWang,35,0,2026-02-09T10:43:54+00:00,2026-02-09T10:11:19+00:00,False,1,0,0,pick_and_place,1,1,v3.0,so_follower,50,20487,1,,,1000,30,100,200
EdwardCHWang/record-test-v2,EdwardCHWang,32,0,2026-01-16T09:02:19+00:00,2026-01-16T09:02:04+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,10,2944,1,,,1000,30,100,200
Elvinky/eval_so101_pick_place_bottle_v0_success,Elvinky,32,0,2026-02-11T04:05:53+00:00,2026-02-11T04:03:48+00:00,True,2,1,0,pick_and_place,2,3,v3.0,so_follower,30,14895,1,,,1000,30,100,200
Elvinky/eval_so101_pick_place_bottle_v0,Elvinky,49,0,2026-02-11T04:03:46+00:00,2026-02-11T04:00:42+00:00,True,2,1,0,pick_and_place,2,3,v3.0,so_follower,67,31113,1,,,1000,30,100,200
Elvinky/so101_pick_place_bottle,Elvinky,51,0,2026-02-09T07:29:37+00:00,2026-02-09T06:04:39+00:00,False,2,1,0,pick_and_place,2,3,v3.0,so_follower,21,10058,1,,,1000,30,100,200
Elvinky/so101_pick_place_test,Elvinky,15,0,2026-02-09T03:12:19+00:00,2026-02-09T03:02:18+00:00,False,2,0,0,pick_and_place,2,2,v3.0,so_follower,40,17241,1,,,1000,30,100,200
